license_text,yolo_confidence,ocr_confidence
3998899,0.84,"[0.43078503012657166, 0.16647149622440338, 0.34953296184539795, 0.6244804859161377, 0.5195932388305664, 0.3195229768753052, 0.34701019525527954, 0.8815361261367798, 0.999537467956543]"
AU07YOO,0.61,"[0.9779515266418457, 0.2175104022026062, 0.8515032529830933, 0.9988823533058167, 0.6416879296302795, 0.49588289856910706, 0.5241986513137817, 0.9853162169456482, 0.9998900890350342]"
AU071TO,0.55,"[0.9961963891983032, 0.25906679034233093, 0.8246246576309204, 0.995896577835083, 0.44550374150276184, 0.37695732712745667, 0.4778245687484741, 0.9959864020347595, 0.9999768733978271]"
AQ07YDD,0.63,"[0.9963825941085815, 0.6502343416213989, 0.9535750150680542, 0.9982869029045105, 0.2059759944677353, 0.9714928865432739, 0.9986315369606018, 0.999968409538269, 0.9999996423721313]"
AU07TDO,0.63,"[0.998176097869873, 0.6263335347175598, 0.9798822402954102, 0.9996939897537231, 0.946009635925293, 0.5332860350608826, 0.5759183168411255, 0.9999133348464966, 0.9999988079071045]"
A487TTO,0.66,"[0.5679850578308105, 0.5531699657440186, 0.5193493366241455, 0.9070196151733398, 0.9962295889854431, 0.41394227743148804, 0.7941195964813232, 0.9825679659843445, 0.9997872710227966]"
A407TTO,0.66,"[0.49953439831733704, 0.8765201568603516, 0.8539623618125916, 0.8410984873771667, 0.9923156499862671, 0.30012771487236023, 0.4248995780944824, 0.987528383731842, 0.9999443292617798]"
AAQ3339,0.72,"[0.7666240334510803, 0.5101544857025146, 0.8826977014541626, 0.6949262619018555, 0.8492764234542847, 0.4499305486679077, 0.8676056861877441, 0.8688525557518005, 0.9998865127563477]"
WGR2NX7,0.66,"[0.9923108816146851, 0.9709528088569641, 0.36783352494239807, 0.36298418045043945, 0.715164065361023, 0.8850271105766296, 0.6558212041854858, 0.9987659454345703, 0.9999053478240967]"
WG67NX7,0.51,"[0.9844637513160706, 0.9909265041351318, 0.32540369033813477, 0.5937293171882629, 0.2255774438381195, 0.9841068983078003, 0.7874205112457275, 0.9962716102600098, 0.999852180480957]"
BG62MXX,0.62,"[0.4472132921218872, 0.997750461101532, 0.502360463142395, 0.451519638299942, 0.2266259789466858, 0.637087881565094, 0.9289242029190063, 0.3583846688270569, 0.9986987113952637]"
WG67MXZ,0.64,"[0.3340829908847809, 0.9989107847213745, 0.4178738594055176, 0.26339033246040344, 0.39543336629867554, 0.9527835845947266, 0.9914159178733826, 0.97405606508255, 0.999957799911499]"
WG92WXZ,0.56,"[0.7867804765701294, 0.9944068193435669, 0.28444555401802063, 0.9646328091621399, 0.1828625649213791, 0.7825011610984802, 0.7838286757469177, 0.9984068274497986, 0.999968409538269]"
WG52QXZ,0.66,"[0.8514377474784851, 0.8395962119102478, 0.9736908674240112, 0.9763308167457581, 0.5548535585403442, 0.9999465942382812, 0.9972270131111145, 0.9999850988388062, 0.9999998807907104]"
MG52RXZ,0.66,"[0.7947587370872498, 0.9908004403114319, 0.9674968719482422, 0.7890400886535645, 0.40888991951942444, 0.999583899974823, 0.9995488524436951, 0.9999949932098389, 0.9999992847442627]"
WG52RXZ,0.69,"[0.9947053790092468, 0.9908965229988098, 0.9952988028526306, 0.9831295609474182, 0.5998731255531311, 0.9996618032455444, 0.994634747505188, 0.9999876022338867, 0.9999985694885254]"
WG62RXZ,0.71,"[0.8804283142089844, 0.9991965889930725, 0.9936339855194092, 0.9784512519836426, 0.8858931064605713, 0.999679684638977, 0.9998325109481812, 0.9999954700469971, 1.0]"
MG62RXZ,0.68,"[0.41237467527389526, 0.9991775155067444, 0.9937829375267029, 0.9924945831298828, 0.9981555342674255, 0.99992835521698, 0.9992864727973938, 0.9998993873596191, 0.9999984502792358]"
NG62PXZ,0.70,"[0.3002576231956482, 0.7930850386619568, 0.991730272769928, 0.9991395473480225, 0.9774288535118103, 0.9918556213378906, 0.9999527931213379, 0.9999531507492065, 0.9999991655349731]"
KG47PXZ,0.75,"[0.8612692356109619, 0.9904216527938843, 0.30918776988983154, 0.8627710938453674, 0.49722468852996826, 0.6965116858482361, 0.9652641415596008, 0.987978458404541, 0.9998956918716431]"
WG529XZ,0.75,"[0.670988142490387, 0.9559860229492188, 0.3544725775718689, 0.6600501537322998, 0.4720870852470398, 0.8721917867660522, 0.881895899772644, 0.9919160008430481, 0.9997935891151428]"
WG6222Y,0.70,"[0.5465093851089478, 0.27937695384025574, 0.7922642827033997, 0.9792146682739258, 0.23985417187213898, 0.28418099880218506, 0.5800644159317017, 0.9909291863441467, 0.9999666213989258]"
C01JM0C,0.59,"[0.36902037262916565, 0.14748920500278473, 0.5044046640396118, 0.5498937368392944, 0.3119892179965973, 0.19302238523960114, 0.19693681597709656, 0.9526013135910034, 0.9981483221054077]"
EA13WOI,0.62,"[0.976040244102478, 0.7281829714775085, 0.7779374718666077, 0.9997054934501648, 0.9659716486930847, 0.8803255558013916, 0.2999601364135742, 0.9992833733558655, 0.9999688863754272]"
EA13WOC,0.66,"[0.9994532465934753, 0.9962387084960938, 0.9980383515357971, 0.9999059438705444, 0.9944451451301575, 0.9500269889831543, 0.9687904119491577, 0.9999701976776123, 0.9999997615814209]"
EA13MOC,0.68,"[0.9999737739562988, 0.9945637583732605, 0.9993523955345154, 0.9878829121589661, 0.9316328167915344, 0.9940525889396667, 0.99506676197052, 0.9999945163726807, 0.9999963045120239]"
EA13MDC,0.76,"[0.9948717355728149, 0.9959446787834167, 0.9993999004364014, 0.9999983310699463, 0.7595840096473694, 0.6062368154525757, 0.9962271451950073, 0.9995647072792053, 0.9999949932098389]"
EA13WDC,0.60,"[0.9986091256141663, 0.989421546459198, 0.9949861764907837, 0.9417890310287476, 0.2570360004901886, 0.7885730862617493, 0.9047377109527588, 0.862269937992096, 0.9997441172599792]"
EA13WG0,0.67,"[0.4763075113296509, 0.558916449546814, 0.3730361759662628, 0.7325305938720703, 0.22382351756095886, 0.24273471534252167, 0.1551854908466339, 0.8750252723693848, 0.9996324777603149]"
RV77VVV,0.54,"[0.8375301361083984, 0.776993453502655, 0.5815355777740479, 0.21994954347610474, 0.4885604977607727, 0.704911470413208, 0.4264254868030548, 0.9928036332130432, 0.9997184872627258]"
PVJ3RWW,0.69,"[0.8778230547904968, 0.9533071517944336, 0.8100206851959229, 0.8909825682640076, 0.6004213690757751, 0.5840564370155334, 0.3581687808036804, 0.9945117235183716, 0.9999929666519165]"
RV17PX1,0.55,"[0.9343211650848389, 0.9916132688522339, 0.47082823514938354, 0.9904431700706482, 0.7940323352813721, 0.9623490571975708, 0.15860995650291443, 0.9992918968200684, 0.999967098236084]"
R173RKW,0.73,"[0.45945385098457336, 0.6418647766113281, 0.4402739405632019, 0.518079400062561, 0.24438056349754333, 0.40585070848464966, 0.5531493425369263, 0.9993717074394226, 0.9999861717224121]"
RV77FRV,0.64,"[0.8006311655044556, 0.8341818451881409, 0.4276547133922577, 0.78658127784729, 0.7693116664886475, 0.23610219359397888, 0.4108932614326477, 0.9941957592964172, 0.9998342990875244]"
AJG9XJH,0.58,"[0.29033163189888, 0.9974230527877808, 0.5773091912269592, 0.8390005826950073, 0.9166579246520996, 0.49433058500289917, 0.28601425886154175, 0.6223060488700867, 0.9953840374946594]"
AJ53MJD,0.61,"[0.9914805889129639, 0.999976634979248, 0.9995819926261902, 0.8326684236526489, 0.8777675628662109, 0.9999651908874512, 0.9920361638069153, 0.9999306201934814, 0.9999982118606567]"
AJ59XJD,0.71,"[0.746554434299469, 0.9941025376319885, 0.9996649026870728, 0.9947472214698792, 0.9981908202171326, 0.999996542930603, 0.9777218699455261, 0.9999959468841553, 0.9999927282333374]"
AJ59XJU,0.63,"[0.9995890259742737, 0.9979071617126465, 0.9992712140083313, 0.9984050393104553, 0.928530752658844, 0.9999463558197021, 0.7853149771690369, 0.9999715089797974, 1.0]"
AJ69XJD,0.76,"[0.9957038760185242, 0.9999736547470093, 0.599611222743988, 0.9999614953994751, 0.9805644154548645, 0.35815924406051636, 0.856327474117279, 0.9998389482498169, 0.999907374382019]"
AJ59XJB,0.75,"[0.989144504070282, 0.9670763611793518, 0.999792754650116, 0.9996733665466309, 0.9994381070137024, 0.9960318207740784, 0.2955385148525238, 0.9999463558197021, 0.9999998807907104]"
A159XUB,0.70,"[0.9652456045150757, 0.16029953956604004, 0.895035445690155, 0.9828631281852722, 0.9973717927932739, 0.7432897090911865, 0.3567911386489868, 0.9990965127944946, 0.9999901056289673]"
A355S99,0.82,"[0.5629596710205078, 0.18055424094200134, 0.20423844456672668, 0.4575285315513611, 0.6679302453994751, 0.5364654660224915, 0.7210633754730225, 0.48334673047065735, 0.9930312633514404]"
FL54AXV,0.62,"[0.9932793974876404, 0.998883068561554, 0.5203142166137695, 0.989482045173645, 0.6360721588134766, 0.7709305882453918, 0.1684316247701645, 0.9964218139648438, 0.9999254941940308]"
FL61XXY,0.59,"[0.9965915679931641, 0.999058187007904, 0.814512312412262, 0.9873352646827698, 0.8410050272941589, 0.6606186032295227, 0.5041032433509827, 0.9913169145584106, 0.9998680353164673]"
FL54XRP,0.61,"[0.9996620416641235, 0.9944783449172974, 0.9983891248703003, 0.9987809062004089, 0.9786484837532043, 0.8449010252952576, 0.866420328617096, 0.9999754428863525, 0.9999899864196777]"
FL64XRP,0.72,"[0.9999676942825317, 0.9996713399887085, 0.893925130367279, 0.9999438524246216, 0.9988116025924683, 0.9955493211746216, 0.9225339889526367, 0.9999995231628418, 0.9999998807907104]"
F464XRP,0.68,"[0.9999991655349731, 0.577116072177887, 0.5983697772026062, 0.9999287128448486, 0.9995176792144775, 0.9986034035682678, 0.9994702935218811, 0.9999998807907104, 1.0]"
TWW7Y44,0.54,"[0.3604501485824585, 0.8782665133476257, 0.2248842716217041, 0.13852593302726746, 0.49358445405960083, 0.4182289242744446, 0.48721393942832947, 0.9365290999412537, 0.9953086972236633]"
EF2YY10,0.56,"[0.9972789883613586, 0.7108086943626404, 0.49431419372558594, 0.854357123374939, 0.5258512496948242, 0.5686046481132507, 0.44352826476097107, 0.8266882300376892, 0.9983022212982178]"
EF21TUD,0.62,"[0.9699334502220154, 0.6902369856834412, 0.47873732447624207, 0.8119252324104309, 0.5680910348892212, 0.5696789622306824, 0.46513688564300537, 0.9659886956214905, 0.9994463324546814]"
EF21YU0,0.61,"[0.9972457885742188, 0.9444978833198547, 0.824674665927887, 0.40386244654655457, 0.569996178150177, 0.7573097944259644, 0.49040472507476807, 0.9455098509788513, 0.9997662901878357]"
EF71TUO,0.70,"[0.9950130581855774, 0.9832041263580322, 0.8897916078567505, 0.9797848463058472, 0.9908719658851624, 0.9298316240310669, 0.8619648218154907, 0.9996111989021301, 0.9998846054077148]"
EF21TUO,0.61,"[0.9993543028831482, 0.9906232953071594, 0.9646963477134705, 0.9994805455207825, 0.9931260347366333, 0.9947799444198608, 0.8591107130050659, 0.9999173879623413, 0.999993085861206]"
SS39PWW,0.54,"[0.09636873751878738, 0.14091593027114868, 0.18602025508880615, 0.30651456117630005, 0.30031388998031616, 0.4559851884841919, 0.7528620362281799, 0.9077919721603394, 0.9948358535766602]"
TC3996H,0.56,"[0.10600771754980087, 0.11099258065223694, 0.3929682970046997, 0.4370080530643463, 0.3711702823638916, 0.4403516948223114, 0.20114293694496155, 0.8237932324409485, 0.997368574142456]"
IC3336H,0.58,"[0.14487893879413605, 0.1669103354215622, 0.18768399953842163, 0.4698536992073059, 0.3067861795425415, 0.24612535536289215, 0.29105180501937866, 0.6953325867652893, 0.9867660999298096]"
BPW136H,0.57,"[0.3055792450904846, 0.21628396213054657, 0.4997892677783966, 0.9016977548599243, 0.6471089720726013, 0.380114883184433, 0.1459575593471527, 0.8209531307220459, 0.9973305463790894]"
RE21VFN,0.64,"[0.9154583215713501, 0.8777028322219849, 0.9287077784538269, 0.9583530426025391, 0.6007331609725952, 0.5424529314041138, 0.7385162711143494, 0.9912881255149841, 0.999971866607666]"
RE23V7N,0.61,"[0.6628339886665344, 0.6238210797309875, 0.8493453860282898, 0.9386473894119263, 0.48491114377975464, 0.33447688817977905, 0.8669137954711914, 0.9939834475517273, 0.9997487664222717]"
WE23YFN,0.62,"[0.344982773065567, 0.6281179189682007, 0.8694537281990051, 0.9747201204299927, 0.9358423352241516, 0.5981504917144775, 0.644840657711029, 0.9997888207435608, 0.999885082244873]"
RE23VFN,0.58,"[0.9978433847427368, 0.9997790455818176, 0.998742401599884, 0.9999316930770874, 0.3991059958934784, 0.8126544952392578, 0.8991071581840515, 0.9999945163726807, 0.9999984502792358]"
RE23YFN,0.74,"[0.9973690509796143, 0.9960975050926208, 0.9999896287918091, 0.9881389737129211, 0.9605404138565063, 0.99962317943573, 0.6934193968772888, 0.9999960660934448, 1.0]"
RE23VFP,0.76,"[0.9996848106384277, 0.9984207153320312, 0.9999070167541504, 0.999380350112915, 0.839341938495636, 0.9940587282180786, 0.30758047103881836, 0.9999986886978149, 1.0]"
RE23VFH,0.76,"[0.9986720085144043, 0.9916055202484131, 0.9999867677688599, 0.9999920129776001, 0.9862043857574463, 0.9835257530212402, 0.14991605281829834, 0.9999724626541138, 0.9999996423721313]"
RE23YFH,0.76,"[0.9996728897094727, 0.9984939098358154, 0.9999908208847046, 0.9999326467514038, 0.7394711971282959, 0.8360391855239868, 0.7039430737495422, 0.9999985694885254, 1.0]"
RE23YPH,0.74,"[0.55744469165802, 0.9884155988693237, 0.9978740215301514, 0.9982852339744568, 0.925951361656189, 0.7513838410377502, 0.7746499180793762, 0.9984325766563416, 0.9999970197677612]"
IL47LHF,0.61,"[0.7357723712921143, 0.3156392574310303, 0.3331867754459381, 0.6937001943588257, 0.9997920393943787, 0.9340742826461792, 0.7421186566352844, 0.9425512552261353, 0.9999632835388184]"
LW34LHT,0.63,"[0.9956350922584534, 0.9933438301086426, 0.34446337819099426, 0.5093172788619995, 0.9948210716247559, 0.5581798553466797, 0.8768221139907837, 0.9989466071128845, 0.9999829530715942]"
ILW2LHT,0.65,"[0.5194344520568848, 0.9982313513755798, 0.2650671601295471, 0.5961977243423462, 0.9975658655166626, 0.9825788736343384, 0.6987192034721375, 0.9925010800361633, 0.9999958276748657]"
LM12LHT,0.70,"[0.9991328120231628, 0.9876039028167725, 0.23666326701641083, 0.8007564544677734, 0.9984403252601624, 0.9648691415786743, 0.9850128889083862, 0.996802568435669, 0.9999622106552124]"
LX12LHT,0.77,"[0.8866243362426758, 0.7986720204353333, 0.9909883141517639, 0.3589819371700287, 0.9994431138038635, 0.9573898911476135, 0.9759904742240906, 0.9996848106384277, 0.9999946355819702]"
LA13LHT,0.72,"[0.9837192893028259, 0.9897510409355164, 0.9957059025764465, 0.26863279938697815, 0.9840765595436096, 0.7765883803367615, 0.9875755310058594, 0.9991586208343506, 0.9999957084655762]"
AP711A0,0.50,"[0.2538768947124481, 0.6459811925888062, 0.9896100759506226, 0.9061737656593323, 0.36317160725593567, 0.7873445153236389, 0.4193733334541321, 0.9061154723167419, 0.9891633987426758]"
GP71AAL,0.59,"[0.9167503714561462, 0.40987297892570496, 0.9689432978630066, 0.30805349349975586, 0.41145920753479004, 0.8219389915466309, 0.6618905067443848, 0.9990763664245605, 0.9999740123748779]"
GF71UAL,0.66,"[0.9876290559768677, 0.7492751479148865, 0.9999297857284546, 0.5703577995300293, 0.850155770778656, 0.7295238375663757, 0.9344386458396912, 0.9960005879402161, 0.9995558857917786]"
CF71UAL,0.61,"[0.8003463745117188, 0.9253476858139038, 0.9994810223579407, 0.6919389367103577, 0.7432224750518799, 0.9913751482963562, 0.8175264000892639, 0.9961705803871155, 0.9997478127479553]"
GF71DAL,0.74,"[0.9874799847602844, 0.9975179433822632, 0.9105172157287598, 0.9001757502555847, 0.29042455554008484, 0.6637977957725525, 0.9737749695777893, 0.9955397248268127, 0.9999407529830933]"
GF71UA1,0.72,"[0.9638623595237732, 0.9577916860580444, 0.9946104288101196, 0.9785603880882263, 0.7151951193809509, 0.9995330572128296, 0.4867566227912903, 0.9998387098312378, 0.9999995231628418]"
GF710A1,0.71,"[0.7333717346191406, 0.9743436574935913, 0.6215491890907288, 0.9380584359169006, 0.7887604236602783, 0.9611559510231018, 0.43495702743530273, 0.9977694749832153, 0.999995231628418]"
CC218AA,0.72,"[0.6745956540107727, 0.25112104415893555, 0.6211268305778503, 0.23915641009807587, 0.6559321284294128, 0.5900134444236755, 0.32495325803756714, 0.9763938784599304, 0.9991987347602844]"
QV59DUM,0.59,"[0.3250158131122589, 0.8688965439796448, 0.9994345307350159, 0.941619873046875, 0.54208904504776, 0.7935724854469299, 0.3387160003185272, 0.5013666152954102, 0.9990039467811584]"
QV59IUW,0.60,"[0.4398156702518463, 0.3949095904827118, 0.9995414018630981, 0.8736776113510132, 0.5222855806350708, 0.8369372487068176, 0.475259393453598, 0.47877055406570435, 0.9966481328010559]"
GV59AUW,0.63,"[0.3849193751811981, 0.8103939890861511, 0.9978016018867493, 0.8290027379989624, 0.33162206411361694, 0.9048953652381897, 0.26674941182136536, 0.5459879636764526, 0.997194766998291]"
GV59DUK,0.73,"[0.9998345375061035, 0.9786491990089417, 0.9943572878837585, 0.9996815919876099, 0.6428312659263611, 0.8866555094718933, 0.7589040994644165, 0.9413341283798218, 0.9999924898147583]"
GV59DER,0.65,"[0.7145534753799438, 0.9309259057044983, 0.9979477524757385, 0.9846978187561035, 0.6154686808586121, 0.2232847958803177, 0.5543745160102844, 0.9993236064910889, 0.9999405145645142]"
GNA5866,0.68,"[0.9886291027069092, 0.573992133140564, 0.2198697030544281, 0.21467360854148865, 0.3884585499763489, 0.4155995547771454, 0.24922987818717957, 0.5244253277778625, 0.9999176263809204]"
